t_name,discipline,noc,event,c_id
Czech Republic,Basketball,Czech Republic,Men,130
Germany,Handball,Germany,Men,131
Montenegro,Water Polo,Montenegro,Men,132
Argentina,Rugby Sevens,Argentina,Men,133
Australia,Basketball,Australia,Men,136
ROC,Artistic Swimming,ROC,Team,142
Turkey,Volleyball,Turkey,Women,146
Brazil,Volleyball,Brazil,Women,148
Australia,Football,Australia,Women,149
Great Britain,Hockey,Great Britain,Women,150
Cote dlvoire,Football,Cote dlvoire,Men,151
Australia,Baseball/Softball,Australia,Softball,156
Netherlands,Water Polo,Netherlands,Women,158
New Zealand,Football,New Zealand,Men,159
Germany,Hockey,Germany,Men,161
Norway,Handball,Norway,Women,163
Argentina,Basketball,Argentina,Men,165
Poland,Volleyball,Poland,Men,166
Canada,Volleyball,Canada,Men,168
Japan,Basketball,Japan,Women,170
Nigeria,Basketball,Nigeria,Women,172
Japan,Rugby Sevens,Japan,Men,174
Denmark,Handball,Denmark,Men,175
Brazil,Football,Brazil,Men,176
Netherlands,Artistic Swimming,Netherlands,Duet,177
China,Football,People's Republic of China,Women,180
Belgium,3x3 Basketball,Belgium,Men,185
Japan,Baseball/Softball,Japan,Baseball,186
Republic of Korea,Handball,Republic of Korea,Women,187
Germany,Hockey,Germany,Women,191
Great Britain,Hockey,Great Britain,Men,192
Republic of Korea,Football,Republic of Korea,Men,194
United States,Volleyball,United States of America,Women,195
Japan,Handball,Japan,Women,196
Kazakhstan,Artistic Swimming,Kazakhstan,Duet,196
Kazakhstan,Water Polo,Kazakhstan,Men,200
United States,Water Polo,United States of America,Women,204
Bahrain,Handball,Bahrain,Men,205
France,Handball,France,Women,206
Canada,Artistic Swimming,Canada,Team,207
Germany,Football,Germany,Men,208
ROC,Rugby Sevens,ROC,Women,209
Dominican Rep.,Volleyball,Dominican Republic,Women,210
New Zealand,Rugby Sevens,New Zealand,Men,211
Japan,Basketball,Japan,Men,212
China,Volleyball,People's Republic of China,Women,213
France,3x3 Basketball,France,Women,214
Republic of Korea,Volleyball,Republic of Korea,Women,214
Chile,Football,Chile,Women,216
Spain,Hockey,Spain,Women,217
Mexico,Football,Mexico,Men,223
China,Rugby Sevens,People's Republic of China,Women,225
Japan,Rugby Sevens,Japan,Women,228
Serbia,Basketball,Serbia,Women,229
Australia,Rugby Sevens,Australia,Women,230
Hungary,Water Polo,Hungary,Men,232
Spain,Water Polo,Spain,Men,235
South Africa,Water Polo,South Africa,Men,236
Netherlands,Handball,Netherlands,Women,241
Italy,Volleyball,Italy,Women,242
Belgium,Hockey,Belgium,Men,244
Argentina,Volleyball,Argentina,Men,246
South Africa,Water Polo,South Africa,Women,248
Belgium,Basketball,Belgium,Women,250
Ukraine,Artistic Swimming,Ukraine,Team,251
Australia,Water Polo,Australia,Women,253
Austria,Artistic Swimming,Austria,Duet,258
Spain,Basketball,Spain,Women,262
Australia,Artistic Swimming,Australia,Team,264
Japan,Football,Japan,Men,265
Japan,Water Polo,Japan,Women,266
Mexico,Baseball/Softball,Mexico,Baseball,268
ROC,Handball,ROC,Women,269
Zambia,Football,Zambia,Women,269
South Africa,Hockey,South Africa,Women,271
Japan,Volleyball,Japan,Women,272
Japan,Volleyball,Japan,Men,273
South Africa,Football,South Africa,Men,277
Spain,Water Polo,Spain,Women,278
Kenya,Rugby Sevens,Kenya,Women,280
Japan,Water Polo,Japan,Men,281
Italy,Baseball/Softball,Italy,Softball,283
Canada,Water Polo,Canada,Women,285
Egypt,Handball,Egypt,Men,286
Canada,Rugby Sevens,Canada,Men,287
Mexico,Artistic Swimming,Mexico,Duet,289
Portugal,Handball,Portugal,Men,290
United States,Basketball,United States of America,Men,295
China,Water Polo,People's Republic of China,Women,296
Australia,Hockey,Australia,Men,297
South Africa,Rugby Sevens,South Africa,Men,299
Canada,Football,Canada,Women,301
Romania,Football,Romania,Men,302
Spain,Artistic Swimming,Spain,Team,306
Argentina,Hockey,Argentina,Women,308
Spain,Handball,Spain,Men,309
Great Britain,Football,Great Britain,Women,310
France,Football,France,Men,312
Germany,Basketball,Germany,Men,314
Great Britain,Rugby Sevens,Great Britain,Men,315
Italy,Basketball,Italy,Men,316
ROC,Volleyball,ROC,Men,318
Venezuela,Volleyball,Venezuela,Men,319
Serbia,Water Polo,Serbia,Men,320
Montenegro,Handball,Montenegro,Women,321
Spain,Basketball,Spain,Men,322
Slovenia,Basketball,Slovenia,Men,324
Republic of Korea,Rugby Sevens,Republic of Korea,Men,325
New Zealand,Football,New Zealand,Women,326
Islamic Rep. of Iran,Basketball,Islamic Republic of Iran,Men,327
New Zealand,Hockey,New Zealand,Women,329
Egypt,Football,Egypt,Men,330
Japan,Handball,Japan,Men,332
Kenya,Rugby Sevens,Kenya,Men,333
New Zealand,Hockey,New Zealand,Men,335
Serbia,Volleyball,Serbia,Women,335
Sweden,Handball,Sweden,Men,337
Spain,Hockey,Spain,Men,338
United States,Volleyball,United States of America,Men,339
Great Britain,Artistic Swimming,Great Britain,Duet,340
United States,Basketball,United States of America,Women,341
Brazil,Football,Brazil,Women,344
Belarus,Artistic Swimming,Belarus,Duet,345
Canada,Basketball,Canada,Women,346
Canada,Artistic Swimming,Canada,Team,347
Japan,Football,Japan,Women,350
Greece,Artistic Swimming,Greece,Duet,353
France,Volleyball,France,Men,357
Croatia,Water Polo,Croatia,Men,359
United States,Water Polo,United States of America,Men,362
Spain,Handball,Spain,Women,371
Greece,Water Polo,Greece,Men,372
Australia,Rugby Sevens,Australia,Men,375
China,Artistic Swimming,People's Republic of China,Duet,376
China,Hockey,People's Republic of China,Women,378
United States,Baseball/Softball,United States of America,Baseball,379
Netherlands,Football,Netherlands,Women,380
China,Basketball,People's Republic of China,Women,385
Ukraine,Artistic Swimming,Ukraine,Duet,389
Liechtenstein,Artistic Swimming,Liechtenstein,Duet,391
